ID,Latitude,Longitude,Dotter,Dotter'sColonyNumber,ColonyName,Habitat,Oil,Notes,AdditionalNotes
23,"29.9207","-89.5374","KKN","23","Biloxi Lake B 2",,"N","mudflat roost of gulls/terns",
24,"29.9295","-89.2373","KKN","24","Turtle Pen Isle",,"N","small vegetated island with wide sand edge; BLSK colony",
25,"29.8734","-88.8793","KKN","25","New Harbor Island 1",,"N","isolated BRPE breeding colony next to water channel",
26,"29.9943","-89.2162","KKN","26","Biloxi North 15",,"N","open sparsely vegetated sandy island; BLSK colony",
27,"29.9679","-89.2276","KKN","27","Redfish Bend",,"N","sandy edges to vegetated area; LAGU dominant, some BRPE",
28,"29.3471","-89.8670","KKN","28","Cat Bay Island",,"N","2 smallish islands packed with GREG and BRPE, some other waders; shrubby, wet below, ponds, all nests area elevated; many BRPE and GREG chicks nesting well advanced for both species; NOTE numbers on screen captures for GEG do not match database, see notes",
43,"29.6407","-92.7851","SLF","9","Louisiana West 4",,"N","tern-gull intertidal roost",
44,"29.6755","-92.8694","SLF","10","Louisiana West 5",,"N","tern-gull intertidal roost",
45,"29.9590","-89.1983","SLF","11","Martin Island",,"Y","Martin Island reshoot (see 7 May); boom washed up on beach; one oiled SATE",
29,"30.0637","-89.1928","KKN","29","Door Point Lagoon 1",,"N","large vegetated island with wide sandy edges; BRPE colony and LAGU dominant",
30,"30.0670","-89.1841","KKN","30","Door Point Lagoon 2",,"N","mostly vegetated with BRPE at edges",
31,"30.0578","-89.2011","KKN","31","Biloxi North 7",,"N","mostly vegetated with BRPE at edges; many pairs and nests are largely PBN so early stages",
32,"30.0525","-89.1944","KKN","32","Biloxi North 8",,"N","actually same island complex as above; same notes re: BRPE phenology",
1,"29.9368","-89.2873","KKN","1","Biloxi North 22",,"N","small vegetated island with FOTE only",
33,"29.0948","-90.6108","PJC","18","Wine Island","sand w. patchy, low vegetation","N","Complete coverage of breeding terns, pelicans, and gulls; small group of skimmers in OV not obviously breeding; roost counts good, but not 100%",
34,"29.8004","-88.8628","PJC","19","Chandeleur South A","beach","N","Small #s of terns on eggs; UNTE roosters in proprtion to SATE, ROYT, and CATE sites; few if any BLSK on eggs",
35,"29.7808","-88.8740","PJC","20","Chandeleur South C","sand","Y","small, unvegetated island; SATE and LAGU pairing up; BLSK also early but appear on territories; Oil apparently washing up nearby - see Camera1 294 and Camera2 4741",
36,"29.0596","-90.9416","SLF","1","Raccoon Island West",,"N","Immediately west of Raccoon Island; coverage apparently complete; some LAGU still pairing up",
37,"29.4282","-91.3287","SLF","2","Heron Island",,"N","nests in trees; some likely missed lower in canopy for all spp., but coverage was good",
38,"29.3141","-91.3429","SLF","4","Vermilion Bay 1",,"N","all birds on intertidal of sandspit",
39,"29.6069","-91.8913","SLF","5","Bayou Platte Island South",,"N","small island within greater Marsh Island complex",
40,"29.5776","-92.5678","SLF","6","Louisiana West 1",,"N","sandspit",
41,"29.5967","-92.6617","SLF","7","Louisiana West 2",,"N","beach roost",
42,"29.6137","-92.7139","SLF","8","Louisiana West 3",,"N","narrow roost on intertidal area of beach",
46,"30.0049","-89.2309","SLF","12","West Karako Bay Islet",,"N","roost on tiny sandbar",
47,"29.3856","-91.3858","SLF","3","Skimmer Island",,"N","37% of WHIB estimated from Overviews; TRHE only counted in WHIB areas; large island with bunchgrass and scattered trees and shrubs; only WHIB areas were photographed w. closeups",
48,"29.3659","-89.8357","PJC","22","Bay Ronquille Northeast Island","marsh/grass island","N","coverage near 100%",
49,"29.3727","-89.8929","PJC","23","Grand Island Point","marsh/grass island","N","only partial closeup coverage (50%); used OVs well; gull/tern #s good, and TRHE #s likely only slightly low",
50,"30.0261","-89.2274","SLF","13","Biloxi North 13",,"N","LAGU only colony; good coverage",
51,"30.0038","-89.2065","SLF","14","Biloxi North 14",,"N","good coverage; some LAGU possibly hidden in tall grass",
52,"29.9368","-89.2873","SLF","15","Biloxi North 22",,"N","small marsh island; 100% coverage",
53,"30.0324","-89.3141","SLF","16","Biloxi North 11",,"N","small marsh island; 100% coverage",
54,"30.0485","-89.3220","SLF","17","Biloxi North 10 A",,"N","two adjacent islands; good coverage",
55,"30.0516","-89.3183","SLF","18","Biloxi North 10 B",,"N","marsh island; some LAGU possibly hidden in tall grass",
56,"30.0481","-89.3202","SLF","19","Biloxi North 10 C",,"N","small marsh island; 100% coverage",
57,"30.0476","-89.3183","SLF","20","Biloxi North 10 D",,"N","small marsh island; 100% coverage",
58,"30.0502","-89.3117","SLF","21","Biloxi North 10 E",,"N","small marsh island; close-up coverage incomplete, some birds estimated from Overviews; overall coverage, not bad",
59,"29.5299","-89.0869","PJC","24","Gosier Islands South","intertidal sandbar","N","long intertidal sandbar; looks like no breeding habitat",
60,"30.0080","-88.8466","PJC","25","Chandeleur North A","beach","N","breeding habitat available, but all birds loafing; likely surveyed too early; 5 Horseshoe Crabs seen",
61,"29.9450","-88.8310","PJC","26","Chandeleur North B",,"N","bathing/foraging birds only",
62,"29.7942","-88.8650","PJC","27","Chandeleur South B",,"N","exposed mudflat; non-breeding habitat",
63,"29.8150","-88.8567","PJC","28","Chandeleur North E","sand","N","long, narrow sand island; good BLSK habitat, but no breeding apparent yet",
64,"29.8275","-88.8475","PJC","29","Chandeleur North D","mudflat","N","loafing birds on exposed mudflat",
65,"29.8375","-88.8388","PJC","30","Chandeleur North C","beach & marsh/grass","N","LAGU just setting up, but looks like a decent colony in the making",
66,"29.6523","-89.4640","PJC","31","Biloxi South 5 A","marsh/grass island","N","mostly just a LAGU colony; coverage not bad - LAGU estimate likely ~ 90% complete",
67,"30.0675","-89.2069","SLF","22","Biloxi North 5","marsh/grass island w. sandy beaches","N","ROYT nesting just starting; LAGU coverage on the order of 75%",
68,"30.1376","-89.4352","SLF","25","Half Moon Island",,"N","big marsh island complex, w. sandbar on west side; conspicuous birds apparently covered well, but over relatively small portion of island; one dead waterbird (Gull?) in Area 4",
2,"29.6055","-89.5887","PJC","6","Biloxi South 7","marsh/grass island","N","most FOTE sitting tight; egg-laying likely had begun; coverage good",
3,"29.5291","-89.5507","PJC","7","Biloxi South 10 B",,"N","eggs seen in several GREG and ROSP nests in shrubs; coverage complete for them, but likely low for TRHE",
4,"29.5334","-89.5560","PJC","8","Biloxi South 10 C","marsh/grass island","N","most GREG w. small chicks; coverage excellent",
69,"30.2382","-88.8867","SLF","26","Ship Island East",,"N","small barrier island east of Ship Island south of Gulfport; coverage 100%",
70,"30.2433","-88.7758","SLF","27","Horn Island","mostly sand island","N","boom present; empty BLSK scrapes indicate recent colony formation, not abandoned nests; skimmers and terns can make multiple scrapes in pairing up",
71,"30.2237","-88.5912","SLF","28","Horn Island",,"N","sandpsit at east end of Horn Island",
72,"29.6521","-89.4577","PJC","32","Biloxi South 5 B","marsh/grass island","N","LAGU coverage prob ~80%; wader coverage representative - very few present",
73,"29.5758","-89.5727","PJC","33","Belle Isle","marsh/grass island","N","coverage of breeding areas good, though actual island surface area photographed prob <50%",
74,"29.3631","-89.8534","PJC","34","Bay Ronquille Northwest Island","marsh/grass island","N","one dead LAGU belly-up in image 0695; covergae not 100%, but good for all spp. present",
75,"30.2289","-88.3269","SLF","29","Dauphin Island 1",,"N","Barrier spit west of Dauphin I; West End",
76,"30.2274","-88.3173","SLF","30","Dauphin Island 2",,"N","Barrier spit west of Dauphin I; Middle",
77,"30.2367","-88.2661","SLF","31","Dauphin Island 3",,"N","Barrier spit west of Dauphin I; East End",
78,"30.2791","-88.1193","SLF","32","Cedar Island",,"N","Sandspit roost, north side of Cedar Island",
79,"30.3207","-88.2099","SLF","33","Cat Island","sandy beaches; thick shrubs in middle","N","TRHE detectability less than at marsh/grass islands; WHEG may include Cattle",
80,"30.3350","-88.2619","SLF","34","Terrapin Island",,"N","large marsh island, w. only a small portion photographed; rest of island presumably empty? also named Isle Aux Herbes",
81,"30.3454","-88.4083","SLF","35","Mississippi Coast 1","sandbar","N","sandbar",
82,"30.2970","-88.5880","SLF","36","Old Round Island",,"N","boom present (Camera 2)",
83,"30.3524","-88.5882","SLF","37","Mississippi Coast 2",,"N","sandbar",
84,"30.3911","-88.9705","SLF","38","Beauvoir",,"N","mainland beach, west Biloxi",
85,"30.0340","-89.1863","SLF","23","Brush Island",,"N","boom being laid out on survey date; skipped initial survey because meny terns were in the air; returned to the colony at the end of the day; tern coverage excellent, some interior LAGU likely missed",
86,"29.0941","-90.2212","SLF","39","Belle Pass East",,"N","Port Fourchon; excellent coverage",
87,"27.8451","-97.4896","PJC","41","Nueces Rivermouth",,"N","Spp. composition and estimates good; birds at multiple levels in trees made some IDs tough",
88,"27.8418","-97.3755","PJC","42","Nueces Causeway",,"N","East Nueces Bay;LAGU/ROYT chicks wandering;ROSP,GBHE chicks fledgling-sized;BLSK coverage ~ 90%, chicks small;coverage more like 80% for other spp.",
89,"27.9326","-97.0995","PJC","44","Causeway Island Platforms A",,"N","large GREG chicks wandering widely; GREG/GBHE site estimates good; likely a few TRHE sites not visible/done",
90,"28.0333","-97.0395","PJC","45","Little Bay C",,"N","long, wide island w. low vegetation; ROSP/GBHE counts good, but other waders and LAGU very scattered and hard to see - counts therefore low; TRHE juvs wandering",
91,"28.0397","-97.0413","PJC","46","Pine Oak Woods",,"N","tall trees adjacent to residential area; sites estimated well from OVs; many chicks evident from closeups",
92,"28.0561","-97.1333","PJC","47","Copano Rattlesnake Point","marsh w. beach & shrubs","N","Excellent Coverage; possibly a few CAEG misidentified as Snowy; possibly a few ""small dark herons"" missed, maybe even Green",
93,"28.0700","-97.0930","PJC","48","Salt Lake G","sand/low shrubs/ art. Platforms","N","coverage good",
94,"28.0659","-96.9629","PJC","49","Long Reef Deadman Islands A","mostly sand w. sparse shrubs","N","many tern chicks present (likely ROYT), but photo quality/coverage insufficient for nest etimate",
95,"28.0763","-96.9655","PJC","50","Long Reef Deadman Islands B","mostly sand w. low grass/shrubs","N","tern site estimates low; empty scrapes present, possibly w. fully-grown chicks on shoreline",
96,"28.1222","-96.9690","PJC","51","Black Jack Point Reef I","sand w. patchy veg","N","coverage good",
97,"28.1857","-96.8137","PJC","52","Second Chain of Islands J","low shrubs","N","coverage good",
98,"28.1880","-96.7988","PJC","53","Second Chain of Islands K","sand w. patchy veg.","N","coverage good",
99,"28.1905","-96.8113","PJC","54","Second Chain of Islands I","sand/low shrubs","N","some egret and gull chicks wandering; survey timing good for this colony",
100,"28.1933","-96.8145","PJC","55","Second Chain of Islands G","sand/low shrubs","N","many GREGs and GBHEs done w. large HY birds along shoreline; dotted groups of HYs as SITEs; WHIB count very good, but still likely a bit low; lots of nesting waders parlty obscured by shrubs",
101,"28.2090","-96.8010","PJC","56","Second Chain of Islands B","sand/grass/low shrubs","N","Lat-Long approximate b/c no land apparent on GoogleEarth",
102,"28.2940","-96.6970","PJC","57","Little Bird Island","sand","N",,
103,"28.4554","-96.8063","PJC","58","Kamey Island","inundated shrubs","N","WHEG = 90% CAEG, 10% SNEG; only SITEs counted for CAEG/SNEG, and not birds",
104,"28.9395","-89.3937","PJC","63","Burrwood Bayou South",,"N","loafing birds on nonbreeding habitat",
105,"28.9720","-89.3475","PJC","64","Burrwood Bayou North",,"N","loafing birds on nonbreeding habitat",
106,"29.2558","-90.4400","PJC","16","Felicity Island","large marsh/grass island","N","Nest/Site estimates for terns and pelicans good, but ~ 90% for all other spp;",
47,"28.8463","-95.4912","WAW","WAW00","Cedar Lakes 3","ShrubScrub Island","N","Assume this is a partial island (not mainland) shoreline, within Cedar Lakes area, San Bernard NWR, TX.  Only one photo taken (camera1); breeding sites not apparent, but may be within/under vegetation.",
48,"28.9219","-95.3797","WAW","WAW02","Bryan Mound","ShrubMangrove Island","N","Island, near Old Reservoir complex, Freeport, TX.  Breeding colony within mangrove/tall bush area of island; photo coverage 100%, images from camera 1 and 2.",
141,"29.3474","-89.8672","DLJ","3","Cat Bay Island",,,,
142,"29.5314","-89.5535","DLJ","2","Biloxi South 10 A",,,,
49,"29.0123","-95.2253","WAW","WAW03","Drum Bay Islands 2","ShrubMarsh Island","N","Island, Drum Bay, south of Brazoria NWR, TX.  Photo coverage of island 70%, images from camera 1 and 2.",
50,"29.0192","-95.2193","WAW","WAW04","Drum Bay Islands 6","ShrubScrub Island","N","Island, Drum Bay, south of Brazoria NWR, TX.  Photo coverage of island 80%, images from camera 1.",
51,"29.0193","-95.2188","WAW","WAW05","Drum Bay Islands 5","ShrubScrub Island","N","Island, Drum Bay, south of Brazoria NWR, TX.  Photo coverage of island 90%, images from camera 1 and 2.",
52,"29.0293","-95.2024","WAW","WAW06","Arcadia Reef A","ShrubScrub Island","N","Island, Christmas Bay, south of Brazoria NWR, just NW of Follets Island, TX.  Photo coverage of island 70%, images from cam1 and cam2; good diversity, many SDHE likely LBHE or DAIB; many juveniles/chicks, several likely LBHE and BCNH.",
53,"29.0293","-95.2008","WAW","WAW07","Arcadia Reef B","ShrubScrub Island","N","Island, Christmas Bay, south of Brazoria NWR, just NW of Follets Island, TX.  Photo coverage of island 65%; most images blurred, both from cam1 and cam2.",
54,"29.0337","-95.2409","WAW","WAW08","Wolf Lake Skimmer Area","ShellSandScrub","N","Mainland, dredge spoil fenced area, Brazoria NWR, Wolf Lake Skimmer Area, in the Salt, Nicks, and Wolf Lake complex, TX.  Photo coverage 100% from both cam1 and cam2.",
55,"29.0580","-95.1619","WAW","WAW09","Follets Island","Structure","N","Remnants of old wooden dock, near Follets Island, Christmas Bay, TX.  Photo coverage 100%; roosting area only.",
56,"29.1595","-95.0202","WAW","WAW10","Texas Coast 9","Tree/Brush Residence","N","Residence of tall trees and brush with small lake, SW of Galveston Island, TX; near wetlands.  Photo coverage 100%; primarily only roosting adults in dead/dying trees visible.",
57,"29.1954","-94.9933","WAW","WAW11","Jumbile Cove/Live Oak Grove","MarshScrub Island","N","Manmade mounds in restoration project, Jumbile Cove (Jamaica Beach), TX; center of island is bare mudflat surrounded by marsh vegetation.  Photo coverage 100%; only one bird and empty nests counted, no sites apparent.",
58,"29.1950","-94.9928","WAW","WAW12","Jumbile Cove/Live Oak Grove","MarshScrub Island","N","Manmade mounds in restoration project, Jumbile Cove (Jamaica Beach), TX; center of island is mudflat interspersed by and surrounded by marsh/scrub vegetation.  Photo coverage approx 90%; No adult birds off sites counted, several juveniles in mudflat area.",
59,"29.7900","-88.9735","WAW","WAW13","Freemason Island","Sand Island","N","Freemason Island, Chandeleur Sound, LA; long, narrow sandy island with few 'ponds' in wider areas.  Photo coverage approx. 90%.","PJC edited data 28may11: deleted UNGT empty nests and gull/tern chicks, changed all terns to UNTE; only BLSK appeared breeding"
60,"29.9197","-89.2627","WAW","WAW14","Drum Bay Island","MarshScrub Island","N","Marsh/wetland island, Drum Bay, LA.  Large marsh island rich with varied vegetation, pothole ponds, standing water; sandy/shell beach area approx. 5-10% of shoreline.  Photo coverage of  approx. 50% but colonies covered, many camera 1 images very blurred.","PJC comments: UNWA Empty nests way overestimated; LAGU not counted due to time constraints"
61,"29.8807","-89.2497","WAW","WAW15","Biloxi North 27","SandScrub Island","N","Large marsh island in Drum Bay, LA.  Island is adundant in inundated wetland, however colony areas photographed were isolated sandy shoreline only, these areas sparsely to moderately vegetated.  Colony area photo coverage 100%; images used from cam1.","PJC comments: UNWA Empty nests likely overestimated"
62,"29.9588","-89.1983","WAW","WAW16","Martin Island","MarshScrubSand Island","N","Martin Island, S of Fox Bay, LA.  Approximately 75% of shoreline is wide, sparsely to moderately vegetated sandy beach; interior inundated wetland/marsh with few large ponds.  Photo coverage 80-90%, images from both cameras.","PJC comments: UNWA Empty nests way overestimated; UNTE chick counts likely good, but most not accounted for w. a nest/site category; use May data for best Site estimates"
63,"30.1526","-89.1968","WAW","WAW17","Isle au Pitre","MarshScrubSand Island","N","Isle au Pitre, LA, SW of Cat Island Channel (LA-MS border).  Small, inundated wetland island with shoreline 90% wide sand/shell beach.  Camera 1 photos only, of BLSK colonies on sandy beaches.","PJC comments: UNWA Empty nests way overestimated"
64,"29.3459","-90.0342","WAW","WAW18","Fricot Bayou Island","MarshWetland Island","N","Small, fractured inundated wetland island in West Champagne Bay, LA.  Most substrate covered in grasses and wet, some marsh scrub in drier areas.  Camera 2 photos used; coverage of island approximately 85%.","PJC comments: UNWA Empty nests way overestimated; FOTE sites underestimated and FOTE chicks overestimated."
46,"28.8442","-95.4880","WAW","WAW01","Cedar Lakes 4","ShrubScrub Island","N","Island, within Cedar Lakes area, San Bernard NWR, TX.  Breeding colony within a fenced area, approximately 30-40% of the island; photo coverage of this fenced area approx. 98%, from both camera 1 and 2.",
107,"28.4512","-96.3648","SLF","43","Chester Island",,"N","most species w. big wandering chicks, making nest estimates difficult; coverage OK",
46,"29.5172","-94.5041","PAG","1","Rollover Bay B",,"N","100% coverage of colony",
47,"29.5178","-94.5024","PAG","2","Rollover Bay A",,"N","90% coverage; one island. Many immature TRHE observed, and empty nests for that species added after dotting.",
48,"29.5215","-94.5056","PAG","3","Rollover Bay D",,"N","90% coverage; two islands",
49,"29.5743","-94.3890","PAG","4","High Island",,"N","95% coverage; see overview screen capture for areas",
50,"29.7469","-93.8860","PAG","5","Point Hunt Island",,"N","85-90% coverage of larger island; most nests empty. Juvs counted in outlying areas first to assist w/ determining  species composition.",
51,"29.8480","-93.95240","PAG","6","Texas Coast 1",,"N","95% coverage; see overview screen capture for areas",
52,"29.85048","-93.95832","PAG","7","Motiva West 7th",,"N","100% coverage; see overview screen capture for areas",
47,"29.6952","-84.7769","KMR","1","Saint George Island","Marsh Grass","N","Few CAEG & GREG foraging in two separate and segregated groups; no nesting",
48,"30.0486","-84.3158","KMR","2","Smith Island","Variable","N","Marsh grasses, large shrubs, yucca-like plants.  Nesting areas spread out near beach, and in aggregations. Inadequate photo coverage of marsh-nesting species (TRHE, etc.).  BRPE mostly with large 7+ week old YY.  Only 1 imm BRPE seen (in a BRPE colony).",
50,"29.8781","-84.5684","KMR","3","Lanark Reef-Pelican Lump","Grasses","N","All BRPE early in chick rearing, maybe 2-4 weeks old.  Picture coverage is ok, but backup photos poor.  A strange un-id. Object seen in lower right of camera 2, pic 026.  Numerous loafing birds not counted due to poor picture quality.",
51,"29.8716","-84.5886","KMR","4","Lanark Reef West","Shrubs/Grasses","N","String of mostly connected low-lying islands; One large BRPE area missed by camera 1, but C2 picked up; BRPE phenology seemed to progress from west to east; 1 SOTE ad seen in Area 18; BLSK colonies on eastern portion of island string",
52,"29.6943","-84.8840","KMR","5","Saint George Causeway","Sand & Grasses","N","Long thin dredge is.; Many holes in the photo coverage overall, but also Camera 1, and used numerous Camera 2 pics for Areas; estimated only covered 2/3 of LAGU sites (Cam 2); Areas 19-35 use Camera 2, and quality is poor.",
53,"29.7143","-84.9749","KMR","6","Apalachicola Bird Island","sand/shrubs","N","Holes in camera 1 photo coverage, especially, but most all covered by camera 2; all BRPE incubating & tight on nests (only 1 empty); UNWA were likely LAGU, but couldn't tell with certainty in photos (blurry at high zoom)",
54,"29.6471","-85.1279","KMR","7","Lake Number Five","Shrubs/Swamp","N","Many holes in photo coverage, but able to get good samples with few close-ups; made rough estimation in one large region with poor coverage (Area 6); all white egrets, mostly GREG with large YY perched about; 1 GBHE AD",
55,"29.6243","-85.1519","KMR","8","Flag Island South","Sand Island","N","GBTE mixed in with BLSK in center of island; One boat with people on shore, another just offshore, and another sunk near shore half in/out of water; likely missed some roosting birds on unphotographed shoreline; overall good photo coverage.",
56,"29.6773","-85.2214","KMR","9","Saint Vincent Island Roost","Beach Roost","N","BRPE and LAGU roosting on the western beach of Saint Vincent Island;  no nesting.",
57,"30.1765","-85.7357","KMR","10","Audubon Island","Grasses/Sand","N","Circular island surrounded by riprap; BRPE nesting and roosting near/on riprap and island itself; Most BRPE YY are large 6-12 weeks old, but most still near nests; BRPE & LAGU only nesting/roosting species",
58,"29.1675","-95.1283","KMR","11","Mustang Bayou Island","Grasses/low Shrub","N","Approx. 2/3 of island was photographed by camera 1; In addition to extra adults of these sp., I estimate that there could be 150-250 additional LAGU nests, 25-35 WHEG nests, 5-10 BRPE nests, 15-25 TRHE nests, 25-50 ROYT nests.",
59,"29.0987","-95.1411","KMR","12","West Bay Bird Island New","Shrubs/Grasses","N","Great photo coverage on vegetated island; Many birds missed roosting on surrounding beaches (est. up to 1 thousand terns sp. with broods, >100+ BRPE, many LAGUs likely with broods); WHIB, TRHE still incubating; ROYT & SATE with broods on beachs",
60,"29.0949","-95.1408","KMR","13","West Bay Bird Island","shrubs/Tall Grasses","N","Trash strewn about everywhere and visible in Area 7 plus numerous others; photo coverage ~3/4 of island vegetation; TRHE incubating to fledged; similiar phenology for other ciconiiforms (WHEG, GBHE, WHIB, etc.); many nests already fledged and now empty",
61,"29.1327","-95.0742","KMR","14","Bay Harbor Island","Sand/Grasses","N","Close-up photos used to obtain bird counts, but dotted on overview photo; LAGU phenology ranged from site attendance to brood tending with large chicks",
62,"29.2851","-94.9265","KMR","15","North Deer Island","Variable","N","Grasses to shrubs to Yucca and Tamarisk; BRPE mostly with large 12+ wk YY; Most Heron/Egret/IBIS spp. still incubating/shading small YY, few TRHE with large YY; LAGU with large YY or incub.; Tern spp. with large YY on beaches; Est. 85% photo cov. -->","~85% photo coverage with camera 2.  For sake of time, did not look at camera 1 photos for dotting, but could likely get near full coverage with camera 1 photos."
64,"29.2943","-94.9334","KMR","16","Kanaloa Spoil East","Sand/Grasses","N","Series of three small low-lying islands; LAGU with med-sized YY; only 1 BRPE brood seen, among AD & IMM; Few SOTE broods in Areas 1 & 2; 1 MAFR seen roosted in a shrub (Area 2)",
65,"29.2905","-94.9289","KMR","17","Marker 52 Spoil Island","shrubs/grasses","N","Brood Category not used for Pelicans in Area 5 onward, all sub-adults classified as IMM, but most/many are YY, Late survey for BRPE, most YY independent and roosting on beaches; Most egrets still incubating/brooding; most LAGU with broods",
108,"29.7047","-89.5647","PJC","1","Biloxi South 2","marsh/grass island","N","small island; likely early and slightly incomplete for FOTE/LAGU",
109,"29.7017","-89.5487","PJC","2","Biloxi South 3","marsh/grass island","N","large island; TRHE coverage prob. <80%; SNEG coverage <100% also",
110,"29.2818","-89.9670","PJC","5","Beauregard Island","marsh/grass island w. some beach","N","some OVs used b/c lack of closeups; nest/site estimates good though",
111,"29.6629","-89.4628","PJC","9","Biloxi South 4 B","marsh/grass island w. some beach","N","coverage good",
112,"29.6569","-89.5145","PJC","3","Biloxi South 6",,"N","small group of FOTE",
113,"29.6618","-89.4672","PJC","4","Biloxi South 4 A","marsh/grass island","N","small group of FOTE",
114,"29.5392","-89.5353","PJC","13","Biloxi South 9","beach","N","no birds in grass/marsh detected",
115,"29.1437","-90.3475","PJC","15","Pelican Island","shrubs surrounded by water w. beach perimeter","N","coverage excellent",
116,"29.7988","-88.8605","PJC","21","Chandeleur South A","sand","N","coverage fine, but many terns standing at edge of water likely b/c not breeding yet",
1,"29.2923","-89.6732","MWP","1","Bastian Island","sandy","N","sandy beach area with skimmers, terns; 100% coverage",
2,"29.3043","-89.9592","MWP","2","Queen Bess Island","grassy marsh, grassy/rip rap/sandy levees","Y","100% coverage of levees but only about 70% coverage of marsh areas; numerous abandoned BRPE nests esp. in areas with oil along edge of colony; REEG ident. Issues; missed LAGU sites due to veg.; BRPE and other waders had large wandering chicks",
3,"29.4308","-89.9732","MWP","3","Manilla Island","grassy marsh","Y","95% coverage. Mostly FOTE ; some overviews utilized to get complete coverage",
140,"29.3656","-89.8646","DLJ","4","Cat Bay North Island",,,,
1,"29.8565","-88.8750","DLJ","1","New Harbor Island 2",,"N","vegetated island with ponds and marsh areas",
4,"29.4070","-89.2903","MWP","4","Willet Island","spotty plants with lots of bare ground","N","Not sure of coverage; overviews poor so not sure if complete coverage was achieved. All photos with birds were counted",
5,"29.3832","-89.3200","MWP","5","Bird Island Birdsfoot","sandy with spotty plants","N","100% coveage of nesting area; roost areas counted in overviews",
6,"29.1875","-89.3123","MWP","6","Birdsfoot West 2","sandy dredge spoil island?","N","100% coverage of nesting area using a couple of overview photos; roost areas counted in overview photos",
