AutoID,Year,Date,ColonyName,Latitude,Longitude,DottingAreaNumber,CameraNumber,CardNumber,PhotoNumber,PQ,SpeciesCode,WBN,ChickNestw/outAdult,AbandNest,EmptyNest,PBN,Site,Brood,OtherAdultsInColony,OtherImmInColony,Chicks/Nestlings,RoostingBirds,RoostingAdults,RoostingImmatures,UnknownAge,Dotter,Dotter'sColonyNumber,DateDotted,Notes
1645,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","11","1","1","0029","E","LAGU",0,0,0,0,0,0,0,40,4,0,0,0,0,0,"KMR","11","03/15/11 00:00:00","Additional LAGU taken from camera 1 card 1 0030; entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1646,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","11","1","1","0029","E","BRPE",0,0,0,0,0,0,0,5,3,0,0,0,0,0,"KMR","11","03/15/11 00:00:00","Additional BRPE taken from camera 1 card 1 0030; entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1647,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","12","1","1","0031","G","LAGU",0,0,0,0,0,28,10,40,0,0,0,0,0,0,"KMR","11","03/15/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1648,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","12","1","1","0031","G","WFIB",1,3,0,0,0,0,0,2,0,0,0,0,0,0,"KMR","11","03/15/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1649,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","12","1","1","0031","G","TRHE",12,2,0,0,0,0,0,1,0,0,0,0,0,0,"KMR","11","03/15/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1650,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","12","1","1","0031","G","WHEG",3,1,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/15/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1651,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","13","1","1","0093","E","LAGU",0,0,0,0,0,1,0,1,0,0,0,0,0,0,"KMR","11","03/15/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1652,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","13","1","1","0093","E","TRHE",1,12,0,1,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/15/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1653,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","13","1","1","0093","E","SNEG",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/15/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1654,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","13","1","1","0093","E","GREG",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"KMR","11","03/15/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1655,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","14","1","1","0036","E","LAGU",0,0,0,0,0,20,7,36,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1656,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","14","1","1","0036","E","SNEG",1,0,0,0,0,0,0,1,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1657,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","14","1","1","0036","E","TRHE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1658,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","15","1","1","0097","E","LAGU",0,0,0,0,0,10,1,6,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1659,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","15","1","1","0097","E","SNEG",3,2,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1660,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","15","1","1","0097","E","TRHE",10,13,0,1,0,0,0,2,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","TRHE YY range from being shaded in nest to large and increasingly independent near nest;entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1661,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","16","1","1","0042","E","LAGU",0,0,0,0,0,9,1,8,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1662,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","16","1","1","0042","E","SNEG",0,3,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1663,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","16","1","1","0042","E","TRHE",2,0,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1664,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","16","1","1","0042","E","GREG",0,0,0,0,0,0,1,2,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1665,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","17","1","1","0099","E","LAGU",0,0,0,0,0,9,2,8,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1666,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","17","1","1","0099","E","SNEG",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1667,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","17","1","1","0099","E","TRHE",4,2,0,1,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1668,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","18","1","1","0103","E","LAGU",0,0,0,0,0,3,0,1,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1669,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","18","1","1","0103","E","SNEG",0,4,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1670,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","18","1","1","0103","E","TRHE",7,3,0,0,0,0,0,1,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","1 WBN taken from camera 1 card 1 0106; entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1671,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","18","1","1","0103","E","GREG",0,0,0,0,0,0,1,1,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","1 Brood and 1 AD taken from camera 1 card 1 0106; entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1672,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","19","1","1","0046","E","LAGU",0,0,0,0,0,8,3,10,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1673,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","19","1","1","0046","E","GREG",0,0,0,0,0,0,1,4,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1674,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","19","1","1","0046","E","AMOY",0,0,0,0,0,0,0,2,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1675,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","20","1","1","0063","E","LAGU",0,0,0,0,0,34,22,61,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1676,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","20","1","1","0063","E","TRHE",2,1,0,0,0,0,0,1,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1678,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","21","1","1","0064","E","LAGU",0,0,0,0,0,4,0,9,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1679,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","21","1","1","0064","E","TRHE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1680,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","21","1","1","0064","E","GREG",0,3,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1681,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","22","1","1","0071","E","LAGU",0,0,0,0,0,10,2,9,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1682,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","22","1","1","0071","E","TRHE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1683,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","22","1","1","0071","E","GREG",1,0,0,0,0,0,0,1,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1684,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","23","1","1","0109","E","LAGU",0,0,0,0,0,6,0,7,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1685,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","23","1","1","0109","E","TRHE",5,2,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1686,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","23","1","1","0109","E","GREG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/16/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1687,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","24","1","1","0066","E","LAGU",0,0,0,0,0,1,5,7,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1688,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","24","1","1","0066","E","GREG",0,2,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1689,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","24","1","1","0066","E","BRPE",0,0,0,0,0,0,5,0,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1690,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","24","1","1","0066","E","TRHE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1691,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","25","1","1","0074","E","LAGU",0,0,0,0,0,10,1,16,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1692,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","25","1","1","0074","E","GREG",0,19,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1693,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","25","1","1","0074","E","BRPE",0,0,0,0,0,0,4,3,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1694,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","25","1","1","0074","E","TRHE",2,0,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1695,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","26","1","1","0084","E","LAGU",0,0,0,0,0,3,26,34,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1696,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","26","1","1","0084","E","GREG",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1697,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","26","1","1","0084","E","TRHE",4,7,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1698,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","26","1","1","0084","E","SNEG",0,7,0,0,0,0,1,0,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1699,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","27","1","1","0083","E","LAGU",0,0,0,0,0,0,1,1,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1700,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","27","1","1","0083","E","GREG",1,7,0,0,0,0,0,1,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1701,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","27","1","1","0083","E","SNEG",1,1,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1702,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","27","1","1","0083","E","BRPE",0,0,0,0,0,0,1,1,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1703,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","28","1","1","0076","E","LAGU",0,0,0,0,0,3,0,5,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1704,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","28","1","1","0076","E","BRPE",0,0,0,0,0,0,2,3,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1705,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","28","1","1","0076","E","TRHE",3,6,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1706,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","28","1","1","0076","E","SNEG",2,1,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1707,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","29","1","1","0087","E","LAGU",0,0,0,0,0,5,12,25,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1708,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","29","1","1","0087","E","BRPE",0,0,0,0,0,0,4,0,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1709,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","29","1","1","0087","E","SNEG",0,0,0,0,0,0,1,0,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1710,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","29","1","1","0087","E","GREG",0,2,0,0,0,0,0,4,0,0,0,0,0,0,"KMR","11","03/17/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1711,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","30","1","1","0114","E","LAGU",0,0,0,0,0,17,5,17,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1712,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","30","1","1","0114","E","BRPE",2,1,0,0,0,0,1,1,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1713,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","30","1","1","0114","E","SNEG",4,0,0,0,0,0,1,0,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1714,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","30","1","1","0114","E","TRHE",2,6,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1715,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","31","1","1","0088","G","LAGU",0,0,0,0,0,5,4,10,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1716,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","31","1","1","0088","G","GREG",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1717,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","31","1","1","0088","G","SNEG",0,0,0,0,0,0,1,1,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1718,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","32","1","1","0115","E","LAGU",0,0,0,0,0,2,1,10,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1719,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","32","1","1","0115","E","GREG",0,0,0,0,0,0,0,2,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1720,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","32","1","1","0115","E","TRHE",4,1,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1721,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","33","1","1","0116","E","LAGU",0,0,0,0,0,3,10,28,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1722,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","33","1","1","0116","E","TRHE",6,1,0,0,0,0,2,0,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1723,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","33","1","1","0116","E","SNEG",7,14,0,0,0,0,0,8,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1724,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","34","1","1","0089","G","LAGU",0,0,0,0,0,3,7,16,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1725,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","34","1","1","0089","G","TRHE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1726,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","34","1","1","0089","G","SNEG",0,0,0,0,0,0,2,1,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1727,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","35","1","1","0117","G","LAGU",0,0,0,0,0,2,4,19,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1728,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","35","1","1","0117","G","TRHE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1729,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","36","1","1","0118","E","LAGU",0,0,0,0,0,0,1,8,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1730,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","37","1","1","0121","E","LAGU",0,0,0,0,0,0,0,16,0,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
1731,2010,"06/25/10 00:00:00","Mustang Bayou Island","29.1675","-95.1283","37","1","1","0121","E","BRPE",0,0,0,0,0,0,0,5,1,0,0,0,0,0,"KMR","11","03/18/11 00:00:00","entered as 6/12/2010, changed to 6/25/2010 PJC 18Nov22"
337,2010,"05/17/10 00:00:00","Rabbit Island","29.8494","-93.3830","6","1","1","1125","E","COGA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,"PJC","17","01/10/11 00:00:00","moorhen on water in middle of marsh"
