source_file,record_id,year,date,colony_name,latitude,longitude,dotter,habitat,oil_present,notes,additional_notes,species_code,state,geo_region,combined_text,nests,birds,text_length,has_coordinates
colony_notes_2010,CN2010_48,2010,,Louisiana West 2,29.5967,-92.6617,SLF,,N,beach roost,,,,,Notes: beach roost,,,18,True
colony_notes_2010,CN2010_49,2010,,Louisiana West 3,29.6137,-92.7139,SLF,,N,narrow roost on intertidal area of beach,,,,,Notes: narrow roost on intertidal area of beach,,,47,True
colony_notes_2010,CN2010_50,2010,,West Karako Bay Islet,30.0049,-89.2309,SLF,,N,roost on tiny sandbar,,,,,Notes: roost on tiny sandbar,,,28,True
colony_notes_2010,CN2010_51,2010,,Skimmer Island,29.3856,-91.3858,SLF,,N,37% of WHIB estimated from Overviews; TRHE only counted in WHIB areas; large island with bunchgrass and scattered trees and shrubs; only WHIB areas were photographed w. closeups,,,,,Notes: 37% of WHIB estimated from Overviews; TRHE only counted in WHIB areas; large island with bunchgrass and scattered trees and shrubs; only WHIB areas were photographed w. closeups,,,184,True
colony_notes_2010,CN2010_52,2010,,Bay Ronquille Northeast Island,29.3659,-89.8357,PJC,marsh/grass island,N,coverage near 100%,,,,,Habitat: marsh/grass island | Notes: coverage near 100%,,,55,True
colony_notes_2010,CN2010_53,2010,,Grand Island Point,29.3727,-89.8929,PJC,marsh/grass island,N,"only partial closeup coverage (50%); used OVs well; gull/tern #s good, and TRHE #s likely only slightly low",,,,,"Habitat: marsh/grass island | Notes: only partial closeup coverage (50%); used OVs well; gull/tern #s good, and TRHE #s likely only slightly low",,,144,True
colony_notes_2010,CN2010_54,2010,,Biloxi North 13,30.0261,-89.2274,SLF,,N,LAGU only colony; good coverage,,,,,Notes: LAGU only colony; good coverage,,,38,True
colony_notes_2010,CN2010_55,2010,,Biloxi North 14,30.0038,-89.2065,SLF,,N,good coverage; some LAGU possibly hidden in tall grass,,,,,Notes: good coverage; some LAGU possibly hidden in tall grass,,,61,True
colony_notes_2010,CN2010_56,2010,,Biloxi North 22,29.9368,-89.2873,SLF,,N,small marsh island; 100% coverage,,,,,Notes: small marsh island; 100% coverage,,,40,True
colony_notes_2010,CN2010_57,2010,,Biloxi North 11,30.0324,-89.3141,SLF,,N,small marsh island; 100% coverage,,,,,Notes: small marsh island; 100% coverage,,,40,True
colony_notes_2010,CN2010_58,2010,,Biloxi North 10 A,30.0485,-89.322,SLF,,N,two adjacent islands; good coverage,,,,,Notes: two adjacent islands; good coverage,,,42,True
colony_notes_2010,CN2010_59,2010,,Biloxi North 10 B,30.0516,-89.3183,SLF,,N,marsh island; some LAGU possibly hidden in tall grass,,,,,Notes: marsh island; some LAGU possibly hidden in tall grass,,,60,True
colony_notes_2010,CN2010_60,2010,,Biloxi North 10 C,30.0481,-89.3202,SLF,,N,small marsh island; 100% coverage,,,,,Notes: small marsh island; 100% coverage,,,40,True
colony_notes_2010,CN2010_61,2010,,Biloxi North 10 D,30.0476,-89.3183,SLF,,N,small marsh island; 100% coverage,,,,,Notes: small marsh island; 100% coverage,,,40,True
colony_notes_2010,CN2010_62,2010,,Biloxi North 10 E,30.0502,-89.3117,SLF,,N,"small marsh island; close-up coverage incomplete, some birds estimated from Overviews; overall coverage, not bad",,,,,"Notes: small marsh island; close-up coverage incomplete, some birds estimated from Overviews; overall coverage, not bad",,,119,True
colony_notes_2010,CN2010_63,2010,,Gosier Islands South,29.5299,-89.0869,PJC,intertidal sandbar,N,long intertidal sandbar; looks like no breeding habitat,,,,,Habitat: intertidal sandbar | Notes: long intertidal sandbar; looks like no breeding habitat,,,92,True
colony_notes_2010,CN2010_64,2010,,Chandeleur North A,30.008,-88.8466,PJC,beach,N,"breeding habitat available, but all birds loafing; likely surveyed too early; 5 Horseshoe Crabs seen",,,,,"Habitat: beach | Notes: breeding habitat available, but all birds loafing; likely surveyed too early; 5 Horseshoe Crabs seen",,,124,True
colony_notes_2010,CN2010_65,2010,,Chandeleur North B,29.945,-88.831,PJC,,N,bathing/foraging birds only,,,,,Notes: bathing/foraging birds only,,,34,True
colony_notes_2010,CN2010_66,2010,,Chandeleur South B,29.7942,-88.865,PJC,,N,exposed mudflat; non-breeding habitat,,,,,Notes: exposed mudflat; non-breeding habitat,,,44,True
colony_notes_2010,CN2010_67,2010,,Chandeleur North E,29.815,-88.8567,PJC,sand,N,"long, narrow sand island; good BLSK habitat, but no breeding apparent yet",,,,,"Habitat: sand | Notes: long, narrow sand island; good BLSK habitat, but no breeding apparent yet",,,96,True
colony_notes_2010,CN2010_68,2010,,Chandeleur North D,29.8275,-88.8475,PJC,mudflat,N,loafing birds on exposed mudflat,,,,,Habitat: mudflat | Notes: loafing birds on exposed mudflat,,,58,True
colony_notes_2010,CN2010_69,2010,,Chandeleur North C,29.8375,-88.8388,PJC,beach & marsh/grass,N,"LAGU just setting up, but looks like a decent colony in the making",,,,,"Habitat: beach & marsh/grass | Notes: LAGU just setting up, but looks like a decent colony in the making",,,104,True
colony_notes_2010,CN2010_70,2010,,Biloxi South 5 A,29.6523,-89.464,PJC,marsh/grass island,N,mostly just a LAGU colony; coverage not bad - LAGU estimate likely ~ 90% complete,,,,,Habitat: marsh/grass island | Notes: mostly just a LAGU colony; coverage not bad - LAGU estimate likely ~ 90% complete,,,118,True
colony_notes_2010,CN2010_71,2010,,Biloxi North 5,30.0675,-89.2069,SLF,marsh/grass island w. sandy beaches,N,ROYT nesting just starting; LAGU coverage on the order of 75%,,,,,Habitat: marsh/grass island w. sandy beaches | Notes: ROYT nesting just starting; LAGU coverage on the order of 75%,,,115,True
colony_notes_2010,CN2010_72,2010,,Half Moon Island,30.1376,-89.4352,SLF,,N,"big marsh island complex, w. sandbar on west side; conspicuous birds apparently covered well, but over relatively small portion of island; one dead waterbird (Gull?) in Area 4",,,,,"Notes: big marsh island complex, w. sandbar on west side; conspicuous birds apparently covered well, but over relatively small portion of island; one dead waterbird (Gull?) in Area 4",,,182,True
colony_notes_2010,CN2010_73,2010,,Biloxi South 7,29.6055,-89.5887,PJC,marsh/grass island,N,most FOTE sitting tight; egg-laying likely had begun; coverage good,,,,,Habitat: marsh/grass island | Notes: most FOTE sitting tight; egg-laying likely had begun; coverage good,,,104,True
colony_notes_2010,CN2010_74,2010,,Biloxi South 10 B,29.5291,-89.5507,PJC,,N,"eggs seen in several GREG and ROSP nests in shrubs; coverage complete for them, but likely low for TRHE",,,,,"Notes: eggs seen in several GREG and ROSP nests in shrubs; coverage complete for them, but likely low for TRHE",,,110,True
colony_notes_2010,CN2010_75,2010,,Biloxi South 10 C,29.5334,-89.556,PJC,marsh/grass island,N,most GREG w. small chicks; coverage excellent,,,,,Habitat: marsh/grass island | Notes: most GREG w. small chicks; coverage excellent,,,82,True
colony_notes_2010,CN2010_76,2010,,Ship Island East,30.2382,-88.8867,SLF,,N,small barrier island east of Ship Island south of Gulfport; coverage 100%,,,,,Notes: small barrier island east of Ship Island south of Gulfport; coverage 100%,,,80,True
colony_notes_2010,CN2010_77,2010,,Horn Island,30.2433,-88.7758,SLF,mostly sand island,N,"boom present; empty BLSK scrapes indicate recent colony formation, not abandoned nests; skimmers and terns can make multiple scrapes in pairing up",,,,,"Habitat: mostly sand island | Notes: boom present; empty BLSK scrapes indicate recent colony formation, not abandoned nests; skimmers and terns can make multiple scrapes in pairing up",,,183,True
colony_notes_2010,CN2010_78,2010,,Horn Island,30.2237,-88.5912,SLF,,N,sandpsit at east end of Horn Island,,,,,Notes: sandpsit at east end of Horn Island,,,42,True
colony_notes_2010,CN2010_79,2010,,Biloxi South 5 B,29.6521,-89.4577,PJC,marsh/grass island,N,LAGU coverage prob ~80%; wader coverage representative - very few present,,,,,Habitat: marsh/grass island | Notes: LAGU coverage prob ~80%; wader coverage representative - very few present,,,110,True
colony_notes_2010,CN2010_80,2010,,Belle Isle,29.5758,-89.5727,PJC,marsh/grass island,N,"coverage of breeding areas good, though actual island surface area photographed prob <50%",,,,,"Habitat: marsh/grass island | Notes: coverage of breeding areas good, though actual island surface area photographed prob <50%",,,126,True
colony_notes_2010,CN2010_81,2010,,Bay Ronquille Northwest Island,29.3631,-89.8534,PJC,marsh/grass island,N,"one dead LAGU belly-up in image 0695; covergae not 100%, but good for all spp. present",,,,,"Habitat: marsh/grass island | Notes: one dead LAGU belly-up in image 0695; covergae not 100%, but good for all spp. present",,,123,True
colony_notes_2010,CN2010_82,2010,,Dauphin Island 1,30.2289,-88.3269,SLF,,N,Barrier spit west of Dauphin I; West End,,,,,Notes: Barrier spit west of Dauphin I; West End,,,47,True
colony_notes_2010,CN2010_83,2010,,Dauphin Island 2,30.2274,-88.3173,SLF,,N,Barrier spit west of Dauphin I; Middle,,,,,Notes: Barrier spit west of Dauphin I; Middle,,,45,True
colony_notes_2010,CN2010_84,2010,,Dauphin Island 3,30.2367,-88.2661,SLF,,N,Barrier spit west of Dauphin I; East End,,,,,Notes: Barrier spit west of Dauphin I; East End,,,47,True
colony_notes_2010,CN2010_85,2010,,Cedar Island,30.2791,-88.1193,SLF,,N,"Sandspit roost, north side of Cedar Island",,,,,"Notes: Sandspit roost, north side of Cedar Island",,,49,True
colony_notes_2010,CN2010_86,2010,,Cat Island,30.3207,-88.2099,SLF,sandy beaches; thick shrubs in middle,N,TRHE detectability less than at marsh/grass islands; WHEG may include Cattle,,,,,Habitat: sandy beaches; thick shrubs in middle | Notes: TRHE detectability less than at marsh/grass islands; WHEG may include Cattle,,,132,True
colony_notes_2010,CN2010_87,2010,,Terrapin Island,30.335,-88.2619,SLF,,N,"large marsh island, w. only a small portion photographed; rest of island presumably empty? also named Isle Aux Herbes",,,,,"Notes: large marsh island, w. only a small portion photographed; rest of island presumably empty? also named Isle Aux Herbes",,,124,True
colony_notes_2010,CN2010_88,2010,,Mississippi Coast 1,30.3454,-88.4083,SLF,sandbar,N,sandbar,,,,,Habitat: sandbar | Notes: sandbar,,,33,True
colony_notes_2010,CN2010_89,2010,,Old Round Island,30.297,-88.588,SLF,,N,boom present (Camera 2),,,,,Notes: boom present (Camera 2),,,30,True
colony_notes_2010,CN2010_90,2010,,Mississippi Coast 2,30.3524,-88.5882,SLF,,N,sandbar,,,,,Notes: sandbar,,,14,True
colony_notes_2010,CN2010_91,2010,,Beauvoir,30.3911,-88.9705,SLF,,N,"mainland beach, west Biloxi",,,,,"Notes: mainland beach, west Biloxi",,,34,True
colony_notes_2010,CN2010_92,2010,,Brush Island,30.034,-89.1863,SLF,,N,"boom being laid out on survey date; skipped initial survey because meny terns were in the air; returned to the colony at the end of the day; tern coverage excellent, some interior LAGU likely missed",,,,,"Notes: boom being laid out on survey date; skipped initial survey because meny terns were in the air; returned to the colony at the end of the day; tern coverage excellent, some interior LAGU likely missed",,,205,True
colony_notes_2010,CN2010_93,2010,,Belle Pass East,29.0941,-90.2212,SLF,,N,Port Fourchon; excellent coverage,,,,,Notes: Port Fourchon; excellent coverage,,,40,True
colony_notes_2010,CN2010_94,2010,,Nueces Rivermouth,27.8451,-97.4896,PJC,,N,Spp. composition and estimates good; birds at multiple levels in trees made some IDs tough,,,,,Notes: Spp. composition and estimates good; birds at multiple levels in trees made some IDs tough,,,97,True
colony_notes_2010,CN2010_95,2010,,Nueces Causeway,27.8418,-97.3755,PJC,,N,"East Nueces Bay;LAGU/ROYT chicks wandering;ROSP,GBHE chicks fledgling-sized;BLSK coverage ~ 90%, chicks small;coverage more like 80% for other spp.",,,,,"Notes: East Nueces Bay;LAGU/ROYT chicks wandering;ROSP,GBHE chicks fledgling-sized;BLSK coverage ~ 90%, chicks small;coverage more like 80% for other spp.",,,154,True
colony_notes_2010,CN2010_96,2010,,Causeway Island Platforms A,27.9326,-97.0995,PJC,,N,large GREG chicks wandering widely; GREG/GBHE site estimates good; likely a few TRHE sites not visible/done,,,,,Notes: large GREG chicks wandering widely; GREG/GBHE site estimates good; likely a few TRHE sites not visible/done,,,114,True
colony_notes_2010,CN2010_97,2010,,Little Bay C,28.0333,-97.0395,PJC,,N,"long, wide island w. low vegetation; ROSP/GBHE counts good, but other waders and LAGU very scattered and hard to see - counts therefore low; TRHE juvs wandering",,,,,"Notes: long, wide island w. low vegetation; ROSP/GBHE counts good, but other waders and LAGU very scattered and hard to see - counts therefore low; TRHE juvs wandering",,,167,True
colony_notes_2010,CN2010_98,2010,,Pine Oak Woods,28.0397,-97.0413,PJC,,N,tall trees adjacent to residential area; sites estimated well from OVs; many chicks evident from closeups,,,,,Notes: tall trees adjacent to residential area; sites estimated well from OVs; many chicks evident from closeups,,,112,True
colony_notes_2010,CN2010_99,2010,,Copano Rattlesnake Point,28.0561,-97.1333,PJC,marsh w. beach & shrubs,N,"Excellent Coverage; possibly a few CAEG misidentified as Snowy; possibly a few ""small dark herons"" missed, maybe even Green",,,,,"Habitat: marsh w. beach & shrubs | Notes: Excellent Coverage; possibly a few CAEG misidentified as Snowy; possibly a few ""small dark herons"" missed, maybe even Green",,,165,True
colony_notes_2010,CN2010_100,2010,,Salt Lake G,28.07,-97.093,PJC,sand/low shrubs/ art. Platforms,N,coverage good,,,,,Habitat: sand/low shrubs/ art. Platforms | Notes: coverage good,,,63,True
colony_notes_2010,CN2010_101,2010,,Long Reef Deadman Islands A,28.0659,-96.9629,PJC,mostly sand w. sparse shrubs,N,"many tern chicks present (likely ROYT), but photo quality/coverage insufficient for nest etimate",,,,,"Habitat: mostly sand w. sparse shrubs | Notes: many tern chicks present (likely ROYT), but photo quality/coverage insufficient for nest etimate",,,143,True
colony_notes_2010,CN2010_102,2010,,Long Reef Deadman Islands B,28.0763,-96.9655,PJC,mostly sand w. low grass/shrubs,N,"tern site estimates low; empty scrapes present, possibly w. fully-grown chicks on shoreline",,,,,"Habitat: mostly sand w. low grass/shrubs | Notes: tern site estimates low; empty scrapes present, possibly w. fully-grown chicks on shoreline",,,141,True
colony_notes_2010,CN2010_103,2010,,Black Jack Point Reef I,28.1222,-96.969,PJC,sand w. patchy veg,N,coverage good,,,,,Habitat: sand w. patchy veg | Notes: coverage good,,,50,True
colony_notes_2010,CN2010_104,2010,,Second Chain of Islands J,28.1857,-96.8137,PJC,low shrubs,N,coverage good,,,,,Habitat: low shrubs | Notes: coverage good,,,42,True
colony_notes_2010,CN2010_105,2010,,Second Chain of Islands K,28.188,-96.7988,PJC,sand w. patchy veg.,N,coverage good,,,,,Habitat: sand w. patchy veg. | Notes: coverage good,,,51,True
colony_notes_2010,CN2010_106,2010,,Second Chain of Islands I,28.1905,-96.8113,PJC,sand/low shrubs,N,some egret and gull chicks wandering; survey timing good for this colony,,,,,Habitat: sand/low shrubs | Notes: some egret and gull chicks wandering; survey timing good for this colony,,,106,True
colony_notes_2010,CN2010_107,2010,,Second Chain of Islands G,28.1933,-96.8145,PJC,sand/low shrubs,N,"many GREGs and GBHEs done w. large HY birds along shoreline; dotted groups of HYs as SITEs; WHIB count very good, but still likely a bit low; lots of nesting waders parlty obscured by shrubs",,,,,"Habitat: sand/low shrubs | Notes: many GREGs and GBHEs done w. large HY birds along shoreline; dotted groups of HYs as SITEs; WHIB count very good, but still likely a bit low; lots of nesting waders parlty obscured by shrubs",,,224,True
colony_notes_2010,CN2010_108,2010,,Second Chain of Islands B,28.209,-96.801,PJC,sand/grass/low shrubs,N,Lat-Long approximate b/c no land apparent on GoogleEarth,,,,,Habitat: sand/grass/low shrubs | Notes: Lat-Long approximate b/c no land apparent on GoogleEarth,,,96,True
